 point	      x	      y	  slice
   229	   3578	   6002	      1
   230	   4559	   6022	      1
   231	   3862	   6051	      1
   232	   3795	   6059	      1
   233	   3719	   6068	      1
   234	   3470	   6089	      1
   235	   4698	   6091	      1
   236	   4558	   6091	      1
   237	   4433	   6093	      1
   238	   3529	   6097	      1
   239	   4487	   6127	      1
   240	   4649	   6156	      1
   241	   4541	   6166	      1
   242	   3414	   6181	      1
   243	   4730	   6192	      1
   244	   4519	   6236	      1
   245	   4427	   6259	      1
   246	   4796	   6260	      1
   247	   3830	   6472	      1
   248	   3764	   6500	      1
   249	   3610	   6752	      1
   250	   3598	   6807	      1
   251	   4573	   6877	      1
   252	   3828	   6901	      1
   253	   4527	   6917	      1
   254	   3625	   6925	      1
   255	   4617	   6926	      1
   256	   3695	   6934	      1
   257	   3640	   6968	      1
   258	   4540	   6987	      1
   259	   3728	   6996	      1
   260	   4141	   1744	      1
   261	   3163	   2829	      1
   262	   3093	   3569	      1
   263	   3127	   3552	      1
