 point	      x	      y	  slice
   165	   2383	   2954	      1
   166	   1541	   3056	      1
   167	   1578	   3054	      1
   168	   2838	   3080	      1
   169	   1595	   3086	      1
   170	   1614	   3089	      1
   171	   2869	   3096	      1
   172	   1593	   3114	      1
   173	   2834	   3149	      1
   174	   1539	   3161	      1
   175	   3874	   3204	      1
   176	   3854	   3236	      1
   177	   2348	   3239	      1
   178	   3875	   3250	      1
   179	   3898	   3261	      1
   180	   5065	   3269	      1
   181	   5088	   3271	      1
   182	   2356	   3284	      1
   183	   5093	   3303	      1
   184	   5651	   3457	      1
   185	   2808	   3462	      1
   186	   2844	   3465	      1
   187	   5731	   3465	      1
   188	   5674	   3477	      1
   189	   5774	   3485	      1
   190	   5712	   3496	      1
   191	   4966	   3541	      1
   192	   4460	   3544	      1
   193	   4914	   3551	      1
   194	   4935	   3552	      1
   195	   4962	   3591	      1
   196	   4986	   3596	      1
   197	   4935	   3599	      1
   198	   5015	   3619	      1
   199	   4935	   3635	      1
   200	   4982	   3643	      1
   201	   2710	   3790	      1
   202	   2810	   3845	      1
   203	   1871	   3870	      1
   204	   1839	   3883	      1
   205	   2759	   3899	      1
   206	   3554	   4017	      1
   207	   3567	   4032	      1
   208	   3516	   4046	      1
   209	   4782	   4269	      1
   210	   5840	   4456	      1
   211	   5534	   4454	      1
   212	   5802	   4460	      1
   213	   5876	   4468	      1
   214	   5912	   4468	      1
   215	   5834	   4477	      1
   216	   5861	   4495	      1
   217	   4391	   4503	      1
   218	   5942	   4503	      1
   219	   5516	   4512	      1
   220	   4385	   4524	      1
   221	   4419	   4540	      1
   222	   5486	   4549	      1
   223	   4381	   4552	      1
   224	   4360	   4570	      1
   225	   5452	   4576	      1
   226	   4424	   4590	      1
   227	   5481	   4582	      1
   228	   4400	   4602	      1
   229	   4014	   4603	      1
   230	   2294	   4611	      1
   231	   5478	   4627	      1
   232	   2262	   4630	      1
   233	   4001	   4639	      1
   234	   2254	   4642	      1
   235	   3750	   4647	      1
   236	   4019	   4653	      1
   237	   2296	   4655	      1
   238	   3822	   4656	      1
   239	   2343	   4667	      1
   240	   3705	   4667	      1
   241	   3821	   4693	      1
   242	   3775	   4698	      1
   243	   3815	   4711	      1
   244	   3788	   4729	      1
   245	   3846	   4748	      1
   246	   3222	   4814	      1
   247	   3201	   4826	      1
   248	   3165	   4834	      1
   249	   3198	   4845	      1
   250	   2798	   4861	      1
   251	   2756	   4865	      1
   252	   3194	   4868	      1
   253	   3182	   4874	      1
   254	   2745	   4928	      1
   255	   4144	   4994	      1
   256	   4664	   5069	      1
   257	   3409	   5319	      1
   258	   3413	   5353	      1
   259	   1892	   5539	      1
   260	   1911	   5540	      1
   261	   1908	   5579	      1
   262	   1881	   5581	      1
   263	   2554	   5582	      1
   264	   4641	   5593	      1
   265	   1878	   5599	      1
   266	   2544	   5608	      1
   267	   1900	   5620	      1
   268	   2511	   5629	      1
   269	   2560	   5625	      1
   270	   4583	   5635	      1
   271	   4602	   5635	      1
   272	   2515	   5659	      1
   273	   2878	   5679	      1
   274	   2872	   5694	      1
   275	   2857	   5702	      1
   276	   3741	   5703	      1
   277	   2880	   5711	      1
   278	   2915	   5726	      1
   279	   3773	   5765	      1
   280	   2860	   5771	      1
   281	   3804	   5800	      1
   282	   2817	   5802	      1
   283	   2307	   5812	      1
   284	   3784	   5826	      1
   285	   2271	   5832	      1
   286	   2239	   5834	      1
   287	   2274	   5858	      1
   288	   3095	   5873	      1
   289	   3061	   5923	      1
   290	   2258	   5926	      1
   291	   3402	   6521	      1
   292	   2843	   6557	      1
   293	   3405	   6555	      1
   294	   2879	   6561	      1
   295	   2807	   6565	      1
   296	   2911	   6571	      1
   297	   3417	   6586	      1
   298	   2857	   6589	      1
   299	   2890	   6594	      1
   300	   3534	   6599	      1
   301	   3480	   6612	      1
   302	   3514	   6612	      1
   303	   3472	   6634	      1
   304	   3567	   6667	      1
   305	   3575	   6708	      1
   306	   3607	   6717	      1
   307	   3652	   6722	      1
   308	   4051	   7129	      1
   309	   4014	   7141	      1
   310	   1272	    154	      1
   311	   1341	    192	      1
   312	   2350	    598	      1
   313	   2192	    820	      1
   314	   4582	   2658	      1
   315	   2296	   4129	      1
   316	   2736	   3951	      1
   317	   2796	   3911	      1
   318	   2712	   3831	      1
   319	   2692	   3811	      1
   320	   2946	   3285	      1
   321	   2930	   3271	      1
   322	   2900	   3287	      1
   323	   2756	   4902	      1
   324	   2738	   4886	      1
   325	   2720	   4886	      1
   326	   4149	   4962	      1
   327	   4172	   4966	      1
   328	   1344	   6247	      1
   329	   1358	   6241	      1
   330	   1432	   6233	      1
   331	   2338	   5811	      1
   332	   2358	   5829	      1
   333	   3077	   5899	      1
   334	   3051	   5903	      1
   335	   3780	   5785	      1
   336	   4129	   7104	      1
   337	   4084	   7128	      1
   338	   4097	   7104	      1
   339	   4097	   7088	      1
   340	   3560	   6799	      1
   341	   3558	   6779	      1
   342	   3596	   6776	      1
   343	   3560	   6819	      1
