point     x     y
  166  2312  1010
  167   229  1026
  168   274  1026
  169  1437  1061
  170  1453  1064
  171   989  1068
  172  1871  1072
  173   853  1077
  174  2183  1089
  175  1411  1091
  176  2321  1093
  177  1297  1099
  178  2047  1110
  179  2556  1124
  180   323  1144
  181   312  1147
  182   415  1152
  183   585  1157
  184   173  1156
  185   331  1157
  186  1687  1159
  187  1724  1163
  188   558  1163
  189   314  1163
  190   593  1167
  191  1652  1167
  192  1747  1168
  193  1710  1172
  194  1670  1178
  195   330  1186
  196  1732  1189
  197  1610  1199
  198  1139  1207
  199  1746  1211
  200  2193  1216
  201  2016  1224
  202  2322  1227
  203  1140  1236
  204  1405  1240
  205  1425  1244
  206  1860  1242
  207  2278  1245
  208   847  1248
  209   503  1248
  210  1802  1248
  211  2288  1253
  212  2067  1261
  213   484  1275
  214  1041  1279
  215   596  1283
  216  1211  1283
  217   807  1295
  218   976  1293
  219  1017  1298
  220  2320  1302
  221  1398  1306
  222  1024  1313
  223  2294  1338
  224  1343  1340
  225   208  1349
  226  1366  1348
  227   202  1362
  228  2062  1366
  229   348  1375
  230  2142  1395
  231  2156  1418
  232  2012  1432
  233  1797  1442
  234  1674  1446
  235  1190  1454
  236  1813  1486
  237  1824  1492
  238  1704  1496
  239  1677  1501
  240  2595  1501
  241   265  1503
  242  1655  1504
  243  1640  1538
  244   556  1552
  245   103  1564
  246   633  1564
  247  2151  1566
  248  1028  1568
  249  1601  1573
  250   665  1574
  251   723  1590
  252  1362  1591
  253   674  1595
  254  2011  1608
  255   937  1613
  256  1518  1615
  257  2396  1617
  258  1490  1620
  259  2014  1636
  260  2065  1639
  261  1319  1640
  262  1166  1652
  263   142  1662
  264   133  1676
  265  2504  1701
  266   549  1703
  267  1489  1704
  268   662  1706
  269   531  1706
  270  1970  1706
  271  2510  1718
  272   685  1720
  273   600  1723
  274  1985  1725
  275   592  1731
  276  1485  1750
  277  2272  1766
  278  1485  1773
  279  2224  1774
  280    26  1781
  281   276  1778
  282  2205  1781
  283  1290  1792
  284   215  1799
  285  1267  1798
  286   763  1816
  287   154  1829
  288   138  1840
  289   165  1841
  290   102  1864
  291  1789  1863
  292  1875  1868
  293  2116  1870
  294    86  1877
  295  1899  1877
  296   100  1895
  297  1870  1896
  298  2474  1902
  299  2034  1903
  300  2079  1910
  301  2477  1912
  302   421  1921
  303  2052  1922
  304   433  1930
  305  1511  1933
  306  1840  1934
  307   705  1944
  308   662  1966
  309   677  1965
  310  1885  1966
  311   750  1965
  312  1112  1970
  313   307  1971
  314   352  1983
  315  1098  1982
  316  1943  1993
  317   347  1994
  318    75  2004
  319  1955  2006
  320  1869  2018
  321    72  2025
  322    51  2026
  323  1410  2037
  324  2468  2043
  325  1649  2055
  326  2480  2061
  327  2490  2073
  328   665  2090
  329   612  2161
  330  2185  2187
  331   789  2190
  332   491  2197
  333  2181  2204
  334   218  2212
  335  1488  2214
  336   192  2217
  337   243  2219
  338  2252  2220
  339  2065  2221
  340  1936  2223
  341   494  2229
  342  1439  2232
  343   955  2233
  344   972  2236
  345  1468  2241
  346  1492  2251
  347   908  2260
  348   956  2265
  349  1015  2263
  350   409  2271
  351   912  2275
  352  1694  2282
  353    70  2289
  354   898  2294
  355   675  2302
  356  2100  2305
  357   555  2311
  358  1321  2326
  359   313  2332
  360   997  2335
  361   260  2337
  362   301  2344
  363  1268  2341
  364   324  2357
  365  2062  2377
  366  2050  2387
  367   694  2403
  368   332  2406
  369   301  2420
  370   661  2424
  371   675  2447
  372   650  2446
  373   939  2457
  374  1367  2459
  375  2588  2466
  376  1834  2467
  377  1222  2487
  378  1505  2501
  379    59  2507
  380    79  2507
  381  1826  2506
  382  2619  2517
  383  1255  2516
  384  1774  2523
  385  1228  2523
  386  1936  2526
  387  2127  2526
  388  1214  2528
  389  1522  2530
  390   931  2532
  391  1020  2534
  392   172  2558
  393   538  2558
  394  2595  2562
  395  2532  2563
  396  1059  2567
  397  2556  2571
  398  2581  2571
  399  2195  2577
  400   149  2578
  401   570  2613
  402  2552  2613
  403  2540  2616
  404    79  2620
  405   588  2620
  406   672   186
  407   270     7
  408   265    29
  409   513   205
  410    96   556
  411    91   571
  412   320   437
  413   684   820
  414   625   829
  415   763   693
  416   843   746
  417   411   806
  418   426   811
  419   452   773
  420   464   788
  421   465   811
  422   584   837
  423   801   903
  424   450  1066
  425   444  1041
  426   244  1022
  427   245  1036
  428   113  1228
  429    98  1245
  430   209  1329
  431    51  1411
  432    71  1449
  433   496  1528
  434   867  1680
  435   498  1843
  436   748  1862
  437   784  1842
  438   815  1820
  439   499  1923
  440   758  1936
  441   692  1974
  442   209  2049
  443   204  2057
  444   581  2079
  445   606  2075
  446   821  2018
  447   730  2118
  448   520  2134
  449   776  2157
  450   224  2249
  451   647  2368
  452   706  2497
  453   711  2516
  454  1232  1763
  455  1242  1761
  456  1248  1774
  457  1255  1794
  458  1211  1807
  459  1433  1803
  460  1311  1963
  461  1286  2041
  462  1273  2049
  463  1148  2064
  464  1072  1967
  465   973  1900
  466   917  1867
  467   906  1845
  468  1434  2056
  469  1449  2024
  470  1462  2020
  471  1353  2166
  472  1302  2224
  473  1247  2372
  474  1180  2386
  475  1414  2588
  476  1236  2499
  477   962  2532
  478   972  2541
  479   991  2536
  480   904  2467
  481   963  2455
  482   927  2261
  483   896  2235
  484   983  2255
  485   979  2266
  486   990  2292
  487   944  1625
  488  1023  1463
  489  1361  1554
  490  1385  1330
  491  1183  1289
  492  1194  1289
  493  1043  1337
  494  1051  1312
  495  1181   964
  496   888  1127
  497   895  1138
  498  1462   183
  499  1198   417
  500  1187   418
  501  1295     7
  502  1291    42
  503  1142   360
  504  1115   359
  505  2004    13
  506  1932    28
  507  1731   115
  508  1494    29
  509  2002   271
  510  1863   336
  511  1639   289
  512  1657   321
  513  1566   548
  514  1985   714
  515  1747   719
  516  1639   768
  517  1618   796
  518  1799   949
  519  1916   880
  520  1977   962
  521  1935  1006
  522  1987  1000
  523  2001  1021
  524  2017  1022
  525  2014  1091
  526  1871  1225
  527  1987  1196
  528  2080  1335
  529  2050  1544
  530  2033  1657
  531  2018  1653
  532  2001  1655
  533  1844  1615
  534  1840  1597
  535  1860  1722
  536  1805  1748
  537  1972  1813
  538  2017  1922
  539  1855  1875
  540  1807  1933
  541  1621  1561
  542  1868  1999
  543  1891  1981
  544  1862  1965
  545  1522  1947
  546  1572  2077
  547  1525  2261
  548  1512  2303
  549  1539  2351
  550  1699  2247
  551  2077  2399
  552  2067  2395
  553  2061  2362
  554  2086  2501
  555  1960  2526
  556  1941  2549
  557  1825  2543
  558  1812  2536
  559  1667  2556
  560  2473  1834
  561  2444  1894
  562  2469  1922
  563  2483  1949
  564  2603  2013
  565  2390  2123
  566  2471  2466
  567  2467  2414
  568  2373  2614
  569  2175  2550
  570  2287  2346
  571  2304  2220
  572  2305  2191
  573  2338  2200
  574  2363  2242
  575  2253  1853
  576  2157  2056
  577  2170  1561
  578  2198  1541
  579  2109  1439
  580  2621  1467
  581  2615  1506
  582  2302  1309
  583  2305  1318
  584  2269  1310
  585  2275  1350
  586  2295  1354
  587  2204  1185
  588  2271  1200
  589  2401  1184
  590  2204  1107
  591  2153   913
  592  2276   873
  593  2290   858
  594  2470   868
  595  2323  1012
  596  2598  1102
  597  2619  1028
  598  2584  1029
  599  2196   787
  600  2213   799
  601  2622   735
  602  2120   556
  603  2200   246
  604  2299   334
  605  2382   190
  606  2188    86
